store_name_get,store_name_re,latitude,longitude,addr1,addr2,address
홈플러스 청주점,,36.61535091,127.4421681,충청북도 청주시 흥덕구 서부로,1291,충청북도 청주시 흥덕구 서부로 1291
홈플러스익스프레스청주금천점,,36.63058637,127.5054909,,,충청북도 청주시 상당구 금천동 산성로92번길 41
이마트청주점,,36.60107495,127.474617,,,충청북도 청주시 흥덕구 미평동 청남로 1853
청주육거리시장,,36.62900826,127.4883917,,,충청북도 청주시 상당구 석교동 60-4
롯데슈퍼청주금천점,,36.62836956,127.5049204,,,충청북도 청주시 상당구 수영로 265
GS수퍼마켓청주율량점,,36.66821746,127.4838524,,,충청북도 청주시 상당구 율량동 1242
GS수퍼마켓청주용담점,,36.63206203,127.5064464,,,충청북도 청주시 상당구 용담동 407
GS수퍼마켓청주봉명점,,36.64172651,127.4611161,,,충청북도 청주시 흥덕구 봉명1동 189-1
GS수퍼마켓청주점,,36.61587693,127.4721312,,,충청북도 청주시 서원구 구룡산로 242
청주북부시장,,36.64841445,127.4858519,,,충청북도 청주시 청원구 우암동 향군로41번길 15-2
롯데마트서청주점,,36.64519818,127.4216689,,,충청북도 청주시 흥덕구 비하동 811
롯데마트청주점,,36.62736029,127.4316296,,,충청북도 청주시 흥덕구 가경동 1416-2
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
